Город;Отдел;Дата;Категория;Продажи;Производство;Питание персонала;Отмена;Брак
Абинск;Абинск-1;01.10.2025;Ингредиент;47899,32;5189,30;985,58;36,01;285,31
Абинск;Абинск-1;01.10.2025;Упаковка;4397,61;0,00;31,83;14,98;34,62
Абинск;Абинск-1;02.10.2025;Ингредиент;62875,98;7837,46;1090,82;53,47;0,00
Абинск;Абинск-1;02.10.2025;Упаковка;5695,12;0,00;28,58;1,51;0,00
Абинск;Абинск-1;03.10.2025;Ингредиент;87579,73;3484,67;1177,59;750,74;0,00
Абинск;Абинск-1;03.10.2025;Упаковка;7906,79;0,00;42,18;54,76;0,00
Абинск;Абинск-1;04.10.2025;Ингредиент;107884,22;4351,16;1400,59;60,27;102,32
Абинск;Абинск-1;04.10.2025;Упаковка;9716,48;0,00;52,70;11,74;17,31
Абинск;Абинск-1;05.10.2025;Ингредиент;84188,50;2280,56;1399,82;480,15;137,14
Абинск;Абинск-1;05.10.2025;Упаковка;7827,07;0,00;33,86;44,34;14,00
Абинск;Абинск-1;06.10.2025;Ингредиент;48621,61;2883,99;979,46;78,99;0,00
Абинск;Абинск-1;06.10.2025;Упаковка;4478,37;0,00;34,82;20,59;0,00
Абинск;Абинск-1;07.10.2025;Ингредиент;54679,63;5145,28;1346,66;75,37;222,90
Абинск;Абинск-1;07.10.2025;Упаковка;4783,81;0,00;41,70;1,51;29,72
Абинск;Абинск-1;08.10.2025;Ингредиент;53785,09;3562,55;1148,04;393,42;0,00
Абинск;Абинск-1;08.10.2025;Упаковка;4883,70;0,00;42,46;42,02;0,00
Абинск;Абинск-1;09.10.2025;Ингредиент;69846,30;7854,00;1351,41;0,00;0,00
Абинск;Абинск-1;09.10.2025;Упаковка;6395,53;0,00;47,96;0,00;0,00
Абинск;Абинск-1;10.10.2025;Ингредиент;80712,07;3616,65;1154,62;1407,73;0,00
Абинск;Абинск-1;10.10.2025;Упаковка;7640,55;0,00;50,41;130,58;0,00
Абинск;Абинск-1;11.10.2025;Ингредиент;102851,74;4340,54;1187,75;492,15;0,00
Абинск;Абинск-1;11.10.2025;Упаковка;9095,78;0,00;41,41;64,98;0,00
Абинск;Абинск-1;12.10.2025;Ингредиент;82321,00;4428,90;1207,32;696,19;170,33
Абинск;Абинск-1;12.10.2025;Упаковка;7415,83;0,00;34,34;63,03;14,00
Абинск;Абинск-1;13.10.2025;Ингредиент;50784,88;2605,68;1260,20;81,30;139,16
Абинск;Абинск-1;13.10.2025;Упаковка;4594,76;0,00;25,48;14,00;17,31
Абинск;Абинск-1;14.10.2025;Ингредиент;44517,67;5206,10;1104,09;0,00;0,00
Абинск;Абинск-1;14.10.2025;Упаковка;4075,69;0,00;42,12;0,00;0,00
Абинск;Абинск-1;15.10.2025;Ингредиент;55639,70;4369,77;874,65;0,00;0,00
Абинск;Абинск-1;15.10.2025;Упаковка;4998,94;0,00;25,71;0,00;0,00
Абинск;Абинск-1;16.10.2025;Ингредиент;60284,46;7077,55;880,39;0,00;0,00
Абинск;Абинск-1;16.10.2025;Упаковка;5403,41;0,00;16,48;0,00;0,00
Абинск;Абинск-1;17.10.2025;Ингредиент;79831,86;2217,65;1413,59;174,75;306,95
Абинск;Абинск-1;17.10.2025;Упаковка;7246,43;0,00;49,06;16,38;4,34
Ессентуки;Ессентуки-1;01.10.2025;Ингредиент;45617,81;5801,19;970,74;780,86;156,67
Ессентуки;Ессентуки-1;01.10.2025;Упаковка;4623,36;0,00;40,50;67,20;18,11
Ессентуки;Ессентуки-1;02.10.2025;Ингредиент;44765,97;2817,89;704,75;296,71;912,62
Ессентуки;Ессентуки-1;02.10.2025;Упаковка;4197,52;0,00;44,88;15,49;86,57
Ессентуки;Ессентуки-1;03.10.2025;Ингредиент;79512,28;3809,63;577,42;0,00;163,58
Ессентуки;Ессентуки-1;03.10.2025;Упаковка;7407,70;0,00;32,62;0,00;17,71
Ессентуки;Ессентуки-1;04.10.2025;Ингредиент;78392,41;5557,58;1436,66;121,47;782,15
Ессентуки;Ессентуки-1;04.10.2025;Упаковка;7359,31;0,00;66,14;19,44;84,02
Ессентуки;Ессентуки-1;05.10.2025;Ингредиент;79836,98;4752,10;630,71;380,67;382,16
Ессентуки;Ессентуки-1;05.10.2025;Упаковка;7141,57;0,00;40,24;23,88;36,05
Ессентуки;Ессентуки-1;06.10.2025;Ингредиент;51639,41;4059,89;651,88;0,00;387,80
Ессентуки;Ессентуки-1;06.10.2025;Упаковка;4742,42;0,00;35,51;0,00;24,79
Ессентуки;Ессентуки-1;07.10.2025;Ингредиент;42504,68;6355,74;868,41;0,00;87,49
Ессентуки;Ессентуки-1;07.10.2025;Упаковка;4295,08;0,00;30,88;0,00;11,98
Ессентуки;Ессентуки-1;08.10.2025;Ингредиент;42806,78;7222,08;909,77;0,00;0,00
Ессентуки;Ессентуки-1;08.10.2025;Упаковка;3753,50;0,00;42,85;0,00;0,00
Ессентуки;Ессентуки-1;09.10.2025;Ингредиент;49266,12;4593,01;984,01;366,01;129,92
Ессентуки;Ессентуки-1;09.10.2025;Упаковка;4620,90;0,00;41,45;35,42;4,14
Ессентуки;Ессентуки-1;10.10.2025;Ингредиент;72992,84;4528,70;807,79;0,00;129,72
Ессентуки;Ессентуки-1;10.10.2025;Упаковка;6356,96;0,00;34,89;0,00;17,71
Ессентуки;Ессентуки-1;11.10.2025;Ингредиент;87568,89;5373,18;1079,22;0,00;165,13
Ессентуки;Ессентуки-1;11.10.2025;Упаковка;7939,27;0,00;40,31;0,00;14,33
Ессентуки;Ессентуки-1;12.10.2025;Ингредиент;78135,33;4609,70;879,57;0,00;169,37
Ессентуки;Ессентуки-1;12.10.2025;Упаковка;7159,28;0,00;48,76;0,00;17,71
Ессентуки;Ессентуки-1;13.10.2025;Ингредиент;53232,48;4484,26;510,29;389,37;293,30
Ессентуки;Ессентуки-1;13.10.2025;Упаковка;4827,18;0,00;15,13;27,61;23,23
Ессентуки;Ессентуки-1;14.10.2025;Ингредиент;52553,77;5399,34;789,78;0,00;110,98
Ессентуки;Ессентуки-1;14.10.2025;Упаковка;4617,78;0,00;24,64;0,00;11,25
Ессентуки;Ессентуки-1;15.10.2025;Ингредиент;40549,00;5613,22;902,34;0,00;436,42
Ессентуки;Ессентуки-1;15.10.2025;Упаковка;3762,00;0,00;51,89;0,00;40,94
Ессентуки;Ессентуки-1;16.10.2025;Ингредиент;42585,63;4919,36;524,64;0,00;68,35
Ессентуки;Ессентуки-1;16.10.2025;Упаковка;3984,94;0,00;21,03;0,00;7,54
Ессентуки;Ессентуки-1;17.10.2025;Ингредиент;70055,44;3888,34;675,73;488,12;673,15
Ессентуки;Ессентуки-1;17.10.2025;Упаковка;6715,68;0,00;21,82;56,14;46,14
Кореновск;Кореновск-1;01.10.2025;Ингредиент;24306,26;3995,57;259,17;0,00;442,25
Кореновск;Кореновск-1;01.10.2025;Упаковка;2182,69;0,00;13,62;0,00;45,81
Кореновск;Кореновск-1;02.10.2025;Ингредиент;34644,66;2892,41;688,52;0,00;353,29
Кореновск;Кореновск-1;02.10.2025;Упаковка;2926,48;0,00;37,41;0,00;19,92
Кореновск;Кореновск-1;03.10.2025;Ингредиент;48518,57;2467,41;400,37;0,00;334,11
Кореновск;Кореновск-1;03.10.2025;Упаковка;4348,02;0,00;12,91;0,00;40,03
Кореновск;Кореновск-1;04.10.2025;Ингредиент;53360,68;2938,11;1069,25;0,00;85,36
Кореновск;Кореновск-1;04.10.2025;Упаковка;4599,96;0,00;50,83;0,00;2,44
Кореновск;Кореновск-1;05.10.2025;Ингредиент;53176,64;0,00;587,69;57,08;130,00
Кореновск;Кореновск-1;05.10.2025;Упаковка;4900,05;0,00;21,22;9,94;17,10
Кореновск;Кореновск-1;06.10.2025;Ингредиент;27529,61;2714,18;639,40;0,00;0,00
Кореновск;Кореновск-1;06.10.2025;Упаковка;2367,10;0,00;28,77;0,00;0,00
Кореновск;Кореновск-1;07.10.2025;Ингредиент;26094,84;0,00;771,06;1069,91;721,84
Кореновск;Кореновск-1;07.10.2025;Упаковка;2156,49;0,00;33,33;125,01;62,36
Кореновск;Кореновск-1;08.10.2025;Ингредиент;25207,46;6798,14;447,28;178,14;0,00
Кореновск;Кореновск-1;08.10.2025;Упаковка;2274,70;0,00;25,21;21,66;0,00
Кореновск;Кореновск-1;09.10.2025;Ингредиент;28605,04;2139,64;453,01;0,00;0,00
Кореновск;Кореновск-1;09.10.2025;Упаковка;2514,47;0,00;10,88;0,00;0,00
Кореновск;Кореновск-1;10.10.2025;Ингредиент;45313,34;1469,42;425,86;0,00;288,90
Кореновск;Кореновск-1;10.10.2025;Упаковка;4220,22;0,00;9,56;0,00;20,08
Кореновск;Кореновск-1;11.10.2025;Ингредиент;51967,68;0,00;258,70;482,29;1131,34
Кореновск;Кореновск-1;11.10.2025;Упаковка;4912,78;0,00;10,47;36,74;118,82
Кореновск;Кореновск-1;12.10.2025;Ингредиент;43900,11;825,07;346,40;732,68;222,48
Кореновск;Кореновск-1;12.10.2025;Упаковка;3859,22;0,00;14,95;34,29;18,52
Кореновск;Кореновск-1;13.10.2025;Ингредиент;19012,64;3329,38;172,07;81,23;299,10
Кореновск;Кореновск-1;13.10.2025;Упаковка;1670,23;0,00;16,77;6,77;29,71
Кореновск;Кореновск-1;14.10.2025;Ингредиент;27475,29;2371,60;399,40;0,00;33,83
Кореновск;Кореновск-1;14.10.2025;Упаковка;2411,71;0,00;19,62;0,00;4,04
Кореновск;Кореновск-1;15.10.2025;Ингредиент;33918,00;3408,20;471,53;226,89;344,91
Кореновск;Кореновск-1;15.10.2025;Упаковка;2980,83;0,00;15,15;15,59;17,10
Кореновск;Кореновск-1;16.10.2025;Ингредиент;33175,22;0,00;127,82;0,00;345,66
Кореновск;Кореновск-1;16.10.2025;Упаковка;2890,32;0,00;2,44;0,00;34,20
Кореновск;Кореновск-1;17.10.2025;Ингредиент;40055,16;0,00;345,24;181,30;747,73
Кореновск;Кореновск-1;17.10.2025;Упаковка;3798,64;0,00;15,15;34,00;82,23
Тимашевск;Тимашевск-1;01.10.2025;Ингредиент;28281,47;3614,17;1122,03;0,00;0,00
Тимашевск;Тимашевск-1;01.10.2025;Упаковка;2572,54;0,00;65,28;0,00;0,00
Тимашевск;Тимашевск-1;02.10.2025;Ингредиент;35066,21;0,00;1122,49;0,00;252,59
Тимашевск;Тимашевск-1;02.10.2025;Упаковка;3132,39;0,00;38,97;0,00;22,93
Тимашевск;Тимашевск-1;03.10.2025;Ингредиент;57235,43;2874,18;1301,72;54,05;0,00
Тимашевск;Тимашевск-1;03.10.2025;Упаковка;5134,40;0,00;68,66;1,72;0,00
Тимашевск;Тимашевск-1;04.10.2025;Ингредиент;56787,17;0,00;1169,65;333,64;0,00
Тимашевск;Тимашевск-1;04.10.2025;Упаковка;4823,10;0,00;88,67;45,86;0,00
Тимашевск;Тимашевск-1;05.10.2025;Ингредиент;51681,06;720,67;1028,26;0,00;0,00
Тимашевск;Тимашевск-1;05.10.2025;Упаковка;4425,28;0,00;52,83;0,00;0,00
Тимашевск;Тимашевск-1;06.10.2025;Ингредиент;34562,12;4326,62;1225,76;568,74;0,00
Тимашевск;Тимашевск-1;06.10.2025;Упаковка;3169,80;0,00;83,05;69,19;0,00
Тимашевск;Тимашевск-1;07.10.2025;Ингредиент;34166,74;2997,73;1173,36;0,00;0,00
