﻿ГОРОД: Абинск;
ОТДЕЛ: Абинск-1;
01.10.2025;4576,54
02.10.2025;2236,07
03.10.2025;858,18
04.10.2025;463,63
05.10.2025;603,30
06.10.2025;287,65
07.10.2025;3625,84
08.10.2025;881,61
09.10.2025;882,94
10.10.2025;1225,04
11.10.2025;689,33
12.10.2025;480,69
13.10.2025;888,24
14.10.2025;910,30
15.10.2025;1090,08
16.10.2025;741,49
17.10.2025;495,23
ГОРОД: Ессентуки;
ОТДЕЛ: Ессентуки-1;
01.10.2025;1382,61
02.10.2025;406,03
03.10.2025;1015,67
04.10.2025;983,96
05.10.2025;2315,31
06.10.2025;394,18
07.10.2025;3521,67
08.10.2025;4619,20
09.10.2025;874,38
10.10.2025;1971,94
11.10.2025;2840,79
12.10.2025;1445,18
13.10.2025;176,49
14.10.2025;343,47
15.10.2025;1526,62
16.10.2025;484,76
17.10.2025;2161,65
ГОРОД: Кореновск;
ОТДЕЛ: Кореновск-1;
01.10.2025;287,00
02.10.2025;553,16
03.10.2025;209,36
04.10.2025;331,51
05.10.2025;164,16
06.10.2025;356,07
07.10.2025;147,10
08.10.2025;1565,49
09.10.2025;190,71
10.10.2025;98,24
11.10.2025;98,24
12.10.2025;0,00
13.10.2025;683,75
14.10.2025;176,02
15.10.2025;299,07
16.10.2025;103,84
17.10.2025;209,64
ГОРОД: Ставрополь;
ОТДЕЛ: Ставрополь-1;
01.10.2025;1140,08
02.10.2025;2345,15
03.10.2025;2521,95
04.10.2025;258,40
05.10.2025;1384,38
06.10.2025;4186,50
07.10.2025;203,19
08.10.2025;5242,55
09.10.2025;1740,02
10.10.2025;1087,26
11.10.2025;1366,25
12.10.2025;1229,29
13.10.2025;1850,58
14.10.2025;1195,56
15.10.2025;3244,69
16.10.2025;1325,27
17.10.2025;2822,08
ОТДЕЛ: Ставрополь-2;
01.10.2025;2929,45
02.10.2025;2943,66
03.10.2025;2935,21
04.10.2025;3592,50
05.10.2025;3187,91
06.10.2025;2128,13
07.10.2025;4149,22
08.10.2025;310,23
09.10.2025;1226,84
10.10.2025;3023,13
11.10.2025;1812,33
12.10.2025;1533,89
13.10.2025;827,56
14.10.2025;1826,26
15.10.2025;1804,96
16.10.2025;1991,84
17.10.2025;2900,05
ОТДЕЛ: Ставрополь-3;
01.10.2025;897,69
02.10.2025;4101,98
03.10.2025;1136,79
04.10.2025;1177,58
05.10.2025;2719,89
06.10.2025;3908,06
07.10.2025;2449,67
08.10.2025;3792,09
09.10.2025;3113,63
10.10.2025;2644,77
11.10.2025;1669,11
12.10.2025;778,77
13.10.2025;1372,64
14.10.2025;3202,96
15.10.2025;1531,65
16.10.2025;4139,84
17.10.2025;5466,01
ОТДЕЛ: Ставрополь-4;
01.10.2025;3230,51
02.10.2025;1923,22
03.10.2025;193,33
04.10.2025;3035,11
05.10.2025;1545,24
06.10.2025;2779,47
07.10.2025;1490,83
08.10.2025;1417,96
09.10.2025;993,92
10.10.2025;1187,18
11.10.2025;2333,06
12.10.2025;1578,50
13.10.2025;1637,93
14.10.2025;1486,99
15.10.2025;1207,39
16.10.2025;1466,52
17.10.2025;1865,83
ОТДЕЛ: Ставрополь-5;
01.10.2025;1736,01
02.10.2025;1999,10
03.10.2025;1420,75
04.10.2025;1010,92
05.10.2025;1001,85
06.10.2025;1251,98
07.10.2025;3200,86
08.10.2025;1408,21
09.10.2025;1334,62
10.10.2025;7320,60
11.10.2025;1193,63
12.10.2025;2167,89
13.10.2025;1589,35
14.10.2025;1526,32
15.10.2025;2375,87
16.10.2025;1726,04
17.10.2025;2555,87
ОТДЕЛ: Ставрополь-7;
01.10.2025;0,00
02.10.2025;0,00
03.10.2025;0,00
04.10.2025;0,00
05.10.2025;0,00
06.10.2025;0,00
07.10.2025;0,00
08.10.2025;0,00
09.10.2025;0,00
10.10.2025;0,00
11.10.2025;0,00
12.10.2025;0,00
13.10.2025;0,00
14.10.2025;0,00
15.10.2025;0,00
16.10.2025;0,00
17.10.2025;0,00
ГОРОД: Тимашевск;
ОТДЕЛ: Тимашевск-1;
01.10.2025;1020,10
02.10.2025;1020,74
03.10.2025;1111,95
04.10.2025;943,01
05.10.2025;989,18
06.10.2025;1049,58
07.10.2025;958,49
08.10.2025;1191,83
09.10.2025;1223,93
10.10.2025;1602,18
11.10.2025;1026,52
12.10.2025;1338,84
13.10.2025;1386,11
14.10.2025;809,61
15.10.2025;816,05
16.10.2025;1765,90
17.10.2025;850,03
