Город;Отдел;Дата;Категория;Продажи;Производство;Питание персонала;Отмена;Брак
Абинск;Абинск-1;01.09.2025;Ингредиент;144263,94;4836,91;2014,10;553,54;0,00
Абинск;Абинск-1;01.09.2025;Упаковка;13264,63;0,00;54,77;69,21;0,00
Абинск;Абинск-1;02.09.2025;Ингредиент;41492,17;5531,98;1455,72;141,73;155,98
Абинск;Абинск-1;02.09.2025;Упаковка;3660,94;0,00;27,26;12,86;12,89
Абинск;Абинск-1;03.09.2025;Ингредиент;58704,67;687,69;804,32;0,00;0,00
Абинск;Абинск-1;03.09.2025;Упаковка;4883,06;0,00;12,25;0,00;0,00
Абинск;Абинск-1;04.09.2025;Ингредиент;54367,56;5528,06;1301,94;0,00;726,08
Абинск;Абинск-1;04.09.2025;Упаковка;4870,74;0,00;16,38;0,00;77,84
Абинск;Абинск-1;05.09.2025;Ингредиент;84433,22;1483,57;1102,50;0,00;414,67
Абинск;Абинск-1;05.09.2025;Упаковка;8058,21;0,00;18,69;0,00;51,84
Абинск;Абинск-1;06.09.2025;Ингредиент;84829,97;5171,85;1080,55;79,42;438,71
Абинск;Абинск-1;06.09.2025;Упаковка;7858,17;0,00;47,11;1,51;40,91
Абинск;Абинск-1;07.09.2025;Ингредиент;76856,65;859,59;1518,29;230,49;230,37
Абинск;Абинск-1;07.09.2025;Упаковка;6626,01;0,00;50,54;28,64;17,71
Абинск;Абинск-1;08.09.2025;Ингредиент;51660,21;1832,82;1145,54;0,00;0,00
Абинск;Абинск-1;08.09.2025;Упаковка;4646,08;0,00;26,48;0,00;0,00
Абинск;Абинск-1;09.09.2025;Ингредиент;64863,13;7160,53;1336,65;69,00;329,78
Абинск;Абинск-1;09.09.2025;Упаковка;5858,01;0,00;30,66;14,53;40,91
Абинск;Абинск-1;10.09.2025;Ингредиент;57586,36;8674,45;1030,76;0,00;0,00
Абинск;Абинск-1;10.09.2025;Упаковка;4755,93;0,00;18,22;0,00;0,00
Абинск;Абинск-1;11.09.2025;Ингредиент;65906,57;5204,22;1557,15;0,00;226,75
Абинск;Абинск-1;11.09.2025;Упаковка;5693,93;0,00;45,96;0,00;9,09
Абинск;Абинск-1;12.09.2025;Ингредиент;77379,65;4323,87;826,54;117,92;232,40
Абинск;Абинск-1;12.09.2025;Упаковка;7035,16;0,00;28,17;23,85;2,83
Абинск;Абинск-1;13.09.2025;Ингредиент;82625,31;6201,39;1464,88;0,00;274,24
Абинск;Абинск-1;13.09.2025;Упаковка;7864,11;0,00;27,58;0,00;35,42
Абинск;Абинск-1;14.09.2025;Ингредиент;81832,15;3712,01;1153,96;220,23;423,36
Абинск;Абинск-1;14.09.2025;Упаковка;7568,56;0,00;25,27;30,16;40,91
Ессентуки;Ессентуки-1;01.09.2025;Ингредиент;86887,26;5318,72;942,89;350,97;130,39
Ессентуки;Ессентуки-1;01.09.2025;Упаковка;7929,77;0,00;31,07;0,76;3,61
Ессентуки;Ессентуки-1;02.09.2025;Ингредиент;41143,98;2728,17;718,10;0,00;73,76
Ессентуки;Ессентуки-1;02.09.2025;Упаковка;3842,56;0,00;27,44;0,00;14,12
Ессентуки;Ессентуки-1;03.09.2025;Ингредиент;48773,09;6350,32;1075,56;0,00;58,83
Ессентуки;Ессентуки-1;03.09.2025;Упаковка;4201,03;0,00;44,27;0,00;1,52
Ессентуки;Ессентуки-1;04.09.2025;Ингредиент;55670,75;6841,28;1209,62;671,13;95,29
Ессентуки;Ессентуки-1;04.09.2025;Упаковка;4938,69;0,00;57,28;82,36;14,12
Ессентуки;Ессентуки-1;05.09.2025;Ингредиент;61300,43;4582,03;1181,91;0,00;332,27
Ессентуки;Ессентуки-1;05.09.2025;Упаковка;5542,22;0,00;62,04;0,00;34,21
Ессентуки;Ессентуки-1;06.09.2025;Ингредиент;83555,23;3531,83;1230,43;0,00;649,87
Ессентуки;Ессентуки-1;06.09.2025;Упаковка;7694,69;0,00;59,31;0,00;26,60
Ессентуки;Ессентуки-1;07.09.2025;Ингредиент;79685,70;4714,11;1163,41;820,45;933,84
Ессентуки;Ессентуки-1;07.09.2025;Упаковка;7317,65;0,00;77,97;95,91;83,23
Ессентуки;Ессентуки-1;08.09.2025;Ингредиент;46474,14;6419,27;1036,16;622,41;0,00
Ессентуки;Ессентуки-1;08.09.2025;Упаковка;4239,98;0,00;32,33;72,44;0,00
Ессентуки;Ессентуки-1;09.09.2025;Ингредиент;52308,24;4232,74;906,80;150,88;374,01
Ессентуки;Ессентуки-1;09.09.2025;Упаковка;4648,63;0,00;32,49;8,26;23,75
Ессентуки;Ессентуки-1;10.09.2025;Ингредиент;62502,97;6293,23;1097,67;676,53;418,52
Ессентуки;Ессентуки-1;10.09.2025;Упаковка;5526,75;0,00;39,59;85,50;32,43
Ессентуки;Ессентуки-1;11.09.2025;Ингредиент;51029,05;5522,22;1209,12;0,00;433,30
Ессентуки;Ессентуки-1;11.09.2025;Упаковка;4590,94;0,00;58,68;0,00;56,09
Ессентуки;Ессентуки-1;12.09.2025;Ингредиент;64838,70;4482,92;944,81;0,00;0,00
Ессентуки;Ессентуки-1;12.09.2025;Упаковка;6121,94;0,00;41,42;0,00;0,00
Ессентуки;Ессентуки-1;13.09.2025;Ингредиент;66418,57;2810,36;850,19;0,00;128,89
Ессентуки;Ессентуки-1;13.09.2025;Упаковка;6093,82;0,00;23,27;0,00;7,28
Ессентуки;Ессентуки-1;14.09.2025;Ингредиент;74571,57;5442,30;895,37;378,12;267,96
Ессентуки;Ессентуки-1;14.09.2025;Упаковка;6873,00;0,00;56,60;54,33;20,96
Кореновск;Кореновск-1;01.09.2025;Ингредиент;82909,66;1617,68;1280,44;0,00;398,90
Кореновск;Кореновск-1;01.09.2025;Упаковка;7231,65;0,00;28,56;0,00;5,64
Кореновск;Кореновск-1;02.09.2025;Ингредиент;23919,64;3185,47;444,16;0,00;372,63
Кореновск;Кореновск-1;02.09.2025;Упаковка;2195,79;0,00;31,50;0,00;31,63
Кореновск;Кореновск-1;03.09.2025;Ингредиент;30699,97;1564,98;667,31;0,00;175,82
Кореновск;Кореновск-1;03.09.2025;Упаковка;2634,17;0,00;16,22;0,00;15,64
Кореновск;Кореновск-1;04.09.2025;Ингредиент;31593,96;3139,84;1001,74;0,00;231,57
Кореновск;Кореновск-1;04.09.2025;Упаковка;2856,34;0,00;31,54;0,00;22,91
Кореновск;Кореновск-1;05.09.2025;Ингредиент;40051,09;2320,91;995,64;0,00;365,61
Кореновск;Кореновск-1;05.09.2025;Упаковка;3674,02;0,00;32,66;0,00;49,90
Кореновск;Кореновск-1;06.09.2025;Ингредиент;56668,97;4601,68;1284,10;0,00;111,14
Кореновск;Кореновск-1;06.09.2025;Упаковка;4927,28;0,00;57,40;0,00;14,14
Кореновск;Кореновск-1;07.09.2025;Ингредиент;48775,94;3128,61;647,21;0,00;423,16
Кореновск;Кореновск-1;07.09.2025;Упаковка;4519,42;0,00;15,90;0,00;40,40
Кореновск;Кореновск-1;08.09.2025;Ингредиент;25742,57;1451,25;530,39;0,00;338,76
Кореновск;Кореновск-1;08.09.2025;Упаковка;2415,80;0,00;27,98;0,00;31,66
Кореновск;Кореновск-1;09.09.2025;Ингредиент;28599,70;3317,74;322,99;373,53;156,14
Кореновск;Кореновск-1;09.09.2025;Упаковка;2629,63;0,00;16,73;36,12;21,64
Кореновск;Кореновск-1;10.09.2025;Ингредиент;33616,96;2337,04;457,69;0,00;71,01
Кореновск;Кореновск-1;10.09.2025;Упаковка;2912,51;0,00;25,31;0,00;1,50
Кореновск;Кореновск-1;11.09.2025;Ингредиент;43825,92;3145,29;750,48;238,95;91,83
Кореновск;Кореновск-1;11.09.2025;Упаковка;4228,25;0,00;20,83;19,08;14,15
Кореновск;Кореновск-1;12.09.2025;Ингредиент;48179,03;0,00;489,35;0,00;133,27
Кореновск;Кореновск-1;12.09.2025;Упаковка;4554,00;0,00;9,76;0,00;15,56
Кореновск;Кореновск-1;13.09.2025;Ингредиент;59200,55;0,00;536,80;542,58;77,00
Кореновск;Кореновск-1;13.09.2025;Упаковка;5361,63;0,00;17,02;43,56;1,50
Кореновск;Кореновск-1;14.09.2025;Ингредиент;45433,36;2699,06;379,67;0,00;0,00
Кореновск;Кореновск-1;14.09.2025;Упаковка;3961,38;0,00;8,44;0,00;0,00
Ставрополь;Ставрополь-1;01.09.2025;Ингредиент;179533,23;21073,74;2431,99;898,94;896,42
Ставрополь;Ставрополь-1;01.09.2025;Упаковка;17199,13;0,00;125,79;105,75;66,82
Ставрополь;Ставрополь-1;02.09.2025;Ингредиент;57861,35;6872,40;830,50;0,00;137,58
Ставрополь;Ставрополь-1;02.09.2025;Упаковка;5296,38;0,00;54,64;0,00;17,79
Ставрополь;Ставрополь-1;03.09.2025;Ингредиент;54955,52;7863,97;838,17;0,00;0,00
Ставрополь;Ставрополь-1;03.09.2025;Упаковка;5048,89;0,00;54,06;0,00;0,00
Ставрополь;Ставрополь-1;04.09.2025;Ингредиент;57804,56;8533,76;1450,35;0,00;135,84
Ставрополь;Ставрополь-1;04.09.2025;Упаковка;5327,19;0,00;86,19;0,00;17,79
Ставрополь;Ставрополь-1;05.09.2025;Ингредиент;87515,76;0,00;1712,83;310,35;0,00
Ставрополь;Ставрополь-1;05.09.2025;Упаковка;8405,56;0,00;95,28;17,34;0,00
Ставрополь;Ставрополь-1;06.09.2025;Ингредиент;92490,03;8003,63;1909,03;683,00;567,74
Ставрополь;Ставрополь-1;06.09.2025;Упаковка;8592,42;0,00;94,92;70,60;71,46
Ставрополь;Ставрополь-1;07.09.2025;Ингредиент;89314,91;6265,99;1488,30;807,81;74,63
Ставрополь;Ставрополь-1;07.09.2025;Упаковка;7918,32;0,00;70,69;97,24;1,51
Ставрополь;Ставрополь-1;08.09.2025;Ингредиент;63392,86;11629,42;1694,30;333,44;282,81
Ставрополь;Ставрополь-1;08.09.2025;Упаковка;6013,77;0,00;109,56;20,57;32,18
Ставрополь;Ставрополь-1;09.09.2025;Ингредиент;63874,27;3858,16;1448,05;109,64;0,00
Ставрополь;Ставрополь-1;09.09.2025;Упаковка;6105,00;0,00;78,73;14,39;0,00
Ставрополь;Ставрополь-1;10.09.2025;Ингредиент;79284,05;14257,41;1170,97;0,00;735,37
Ставрополь;Ставрополь-1;10.09.2025;Упаковка;7126,14;0,00;71,85;0,00;78,82
Ставрополь;Ставрополь-1;11.09.2025;Ингредиент;80346,29;8418,01;2041,60;882,87;280,72
Ставрополь;Ставрополь-1;11.09.2025;Упаковка;7421,23;0,00;92,24;108,34;37,71
Ставрополь;Ставрополь-1;12.09.2025;Ингредиент;100844,06;0,00;1903,42;1745,42;757,59
Ставрополь;Ставрополь-1;12.09.2025;Упаковка;9781,16;0,00;118,22;196,62;77,56
Ставрополь;Ставрополь-1;13.09.2025;Ингредиент;115528,39;12504,35;1856,18;510,78;621,28
Ставрополь;Ставрополь-1;13.09.2025;Упаковка;10600,86;0,00;81,15;64,12;46,64
Ставрополь;Ставрополь-1;14.09.2025;Ингредиент;99400,91;9149,06;1557,95;67,56;93,10
Ставрополь;Ставрополь-1;14.09.2025;Упаковка;9242,66;0,00;95,79;7,61;14,39
Ставрополь;Ставрополь-2;01.09.2025;Ингредиент;161584,19;11173,23;2041,68;324,80;164,09
Ставрополь;Ставрополь-2;01.09.2025;Упаковка;15477,68;0,00;103,53;5,66;17,79
Ставрополь;Ставрополь-2;02.09.2025;Ингредиент;68463,13;0,00;2023,57;0,00;334,16
Ставрополь;Ставрополь-2;02.09.2025;Упаковка;6282,57;0,00;114,19;0,00;5,66
Ставрополь;Ставрополь-2;03.09.2025;Ингредиент;56417,49;16940,42;1474,43;375,12;367,25
Ставрополь;Ставрополь-2;03.09.2025;Упаковка;5236,26;0,00;71,94;35,58;43,17
Ставрополь;Ставрополь-2;04.09.2025;Ингредиент;62189,77;5502,13;1071,25;0,00;274,14
Ставрополь;Ставрополь-2;04.09.2025;Упаковка;5789,44;0,00;52,17;0,00;23,32
Ставрополь;Ставрополь-2;05.09.2025;Ингредиент;96164,49;7646,68;1931,20;963,69;72,86
Ставрополь;Ставрополь-2;05.09.2025;Упаковка;9351,40;0,00;126,23;66,93;1,51
Ставрополь;Ставрополь-2;06.09.2025;Ингредиент;108875,88;8649,33;2032,42;0,00;0,00
Ставрополь;Ставрополь-2;06.09.2025;Упаковка;9780,62;0,00;105,72;0,00;0,00
Ставрополь;Ставрополь-2;07.09.2025;Ингредиент;84043,64;7452,48;1548,41;0,00;457,54
Ставрополь;Ставрополь-2;07.09.2025;Упаковка;7699,20;0,00;83,33;0,00;46,64
Ставрополь;Ставрополь-2;08.09.2025;Ингредиент;70133,53;0,00;1360,25;0,00;105,10
Ставрополь;Ставрополь-2;08.09.2025;Упаковка;6340,68;0,00;74,51;0,00;0,00
Ставрополь;Ставрополь-2;09.09.2025;Ингредиент;57136,16;6439,42;1628,27;0,00;0,00
Ставрополь;Ставрополь-2;09.09.2025;Упаковка;5575,34;0,00;79,20;0,00;0,00
Ставрополь;Ставрополь-2;10.09.2025;Ингредиент;68910,65;9168,58;1161,16;0,00;229,41
Ставрополь;Ставрополь-2;10.09.2025;Упаковка;6574,02;0,00;97,93;0,00;19,30
Ставрополь;Ставрополь-2;11.09.2025;Ингредиент;74901,99;6023,99;1951,24;0,00;161,26
Ставрополь;Ставрополь-2;11.09.2025;Упаковка;6920,78;0,00;122,30;0,00;23,13
Ставрополь;Ставрополь-2;12.09.2025;Ингредиент;89213,09;9223,19;1966,72;0,00;181,45
Ставрополь;Ставрополь-2;12.09.2025;Упаковка;8565,07;0,00;167,03;0,00;23,32
Ставрополь;Ставрополь-2;13.09.2025;Ингредиент;105691,82;9856,51;2236,15;185,50;0,00
Ставрополь;Ставрополь-2;13.09.2025;Упаковка;9909,48;0,00;151,64;17,38;0,00
Ставрополь;Ставрополь-2;14.09.2025;Ингредиент;91843,38;6826,05;1966,06;0,00;416,92
Ставрополь;Ставрополь-2;14.09.2025;Упаковка;8529,78;0,00;136,10;0,00;30,37
Ставрополь;Ставрополь-3;01.09.2025;Ингредиент;152408,39;5646,27;2488,18;0,00;0,00
Ставрополь;Ставрополь-3;01.09.2025;Упаковка;12679,63;0,00;106,56;0,00;0,00
Ставрополь;Ставрополь-3;02.09.2025;Ингредиент;53971,96;5507,19;1389,59;0,00;278,30
Ставрополь;Ставрополь-3;02.09.2025;Упаковка;4869,20;0,00;52,87;0,00;20,62
Ставрополь;Ставрополь-3;03.09.2025;Ингредиент;57873,54;7398,14;1726,64;709,85;233,33
Ставрополь;Ставрополь-3;03.09.2025;Упаковка;5095,86;0,00;49,14;76,69;32,18
Ставрополь;Ставрополь-3;04.09.2025;Ингредиент;55908,82;6455,89;1551,56;273,73;336,51
Ставрополь;Ставрополь-3;04.09.2025;Упаковка;4403,82;0,00;40,85;34,35;37,71
Ставрополь;Ставрополь-3;05.09.2025;Ингредиент;95060,11;6823,39;1136,66;0,00;74,63
Ставрополь;Ставрополь-3;05.09.2025;Упаковка;8126,52;0,00;45,17;0,00;1,51
Ставрополь;Ставрополь-3;06.09.2025;Ингредиент;108413,73;7600,37;1154,64;0,00;454,91
Ставрополь;Ставрополь-3;06.09.2025;Упаковка;8958,55;0,00;60,83;0,00;52,10
Ставрополь;Ставрополь-3;07.09.2025;Ингредиент;82994,86;6566,27;2021,02;1111,80;537,04
Ставрополь;Ставрополь-3;07.09.2025;Упаковка;6812,74;0,00;81,10;105,65;43,94
Ставрополь;Ставрополь-3;08.09.2025;Ингредиент;61137,24;6654,21;1181,10;0,00;576,97
Ставрополь;Ставрополь-3;08.09.2025;Упаковка;5494,39;0,00;31,20;0,00;61,54
