ОТДЕЛ: Ставрополь-1;
01.09.2025;1634,60
02.09.2025;8359,13
03.09.2025;0,00
04.09.2025;3899,40
05.09.2025;152,39
06.09.2025;2640,79
07.09.2025;3998,07
08.09.2025;2703,23
09.09.2025;3611,38
;
ОТДЕЛ: Ставрополь-2;
01.09.2025;499,51
02.09.2025;2340,90
03.09.2025;3221,84
04.09.2025;228,59
05.09.2025;2298,54
06.09.2025;3566,76
07.09.2025;1943,35
08.09.2025;295,88
09.09.2025;568,69
;
ОТДЕЛ: Ставрополь-3;
01.09.2025;2556,79
02.09.2025;1427,92
03.09.2025;1878,43
04.09.2025;3769,87
05.09.2025;2472,38
06.09.2025;1972,05
07.09.2025;2279,06
08.09.2025;2722,01
09.09.2025;2335,15
;
ОТДЕЛ: Ставрополь-4;
01.09.2025;2365,87
02.09.2025;1219,04
03.09.2025;2047,39
04.09.2025;1530,06
05.09.2025;1132,28
06.09.2025;1721,35
07.09.2025;1081,02
08.09.2025;796,49
09.09.2025;1361,68
;
ОТДЕЛ: Ставрополь-5;
01.09.2025;1561,00
02.09.2025;1269,44
03.09.2025;2052,41
04.09.2025;983,50
05.09.2025;1661,25
06.09.2025;1155,27
07.09.2025;2020,43
08.09.2025;3621,62
09.09.2025;1624,76
;
